YEAR_REGISTERED,YEAR_EVALUATED,YEAR_BUILT,PROPERTY_TYPE,WARD,WARDNAME,SITE_ADDRESS,CONFIRMED_STOREYS,CONFIRMED_UNITS,SCORE
2017,2018,1955,PRIVATE,05,York South-Weston,2643 KEELE ST,3,21,64
2017,2018,1960,PRIVATE,08,Eglinton-Lawrence,96 MULHOLLAND AVE,3,11,64
2017,2018,1969,PRIVATE,13,Toronto Centre,280 WELLESLEY ST E,32,571,61
2017,2018,1971,TCHC,20,Scarborough Southwest,30 TEESDALE PL,24,278,69
2017,2018,1971,TCHC,20,Scarborough Southwest,40 TEESDALE PL,24,278,69
2017,2018,1966,PRIVATE,02,Etobicoke Centre,340 THE EAST MALL,8,77,75
2017,2018,1970,TCHC,20,Scarborough Southwest,3479 ST CLAIR AVE E,8,94,81
2017,2018,1968,TCHC,20,Scarborough Southwest,3485 ST CLAIR AVE E,9,97,69
2017,2018,1957,TCHC,08,Eglinton-Lawrence,3 LEILA LANE,3,31,67
2017,2018,1960,PRIVATE,08,Eglinton-Lawrence,178 LOCKSLEY AVE,3,24,75
2018,2018,1993,SOCIAL HOUSING,07,Humber River-Black Creek,3001 FINCH AVE W,14,166,67
2017,2018,1957,TCHC,08,Eglinton-Lawrence,1 FLEMINGTON RD,3,31,67
2017,2018,1958,PRIVATE,08,Eglinton-Lawrence,47 EUPHRASIA DR,3,26,71
2017,2018,1953,PRIVATE,03,Etobicoke-Lakeshore,317 PARK LAWN RD,4,32,74
2017,2018,1965,PRIVATE,05,York South-Weston,36 CHURCH ST,6,41,63
2017,2018,1975,PRIVATE,13,Toronto Centre,191 SHERBOURNE ST,17,371,78
2017,2018,1975,PRIVATE,13,Toronto Centre,201 SHERBOURNE ST,23,225,82
2019,2018,1958,PRIVATE,03,Etobicoke-Lakeshore,22 RIVERWOOD PKWY,4,44,63
2017,2018,1960,PRIVATE,03,Etobicoke-Lakeshore,3 CROWN HILL PL,6,62,74
2017,2018,1958,PRIVATE,08,Eglinton-Lawrence,1111 LAWRENCE AVE W,3,15,81
2017,2018,1969,TCHC,24,Scarborough-Guildwood,3847 LAWRENCE AVE E,13,213,61
2018,2018,1970,TCHC,24,Scarborough-Guildwood,3939 LAWRENCE AVE E,3,31,64
2017,2018,1970,TCHC,24,Scarborough-Guildwood,3941 LAWRENCE AVE E,3,33,63
2018,2018,1970,TCHC,24,Scarborough-Guildwood,3943 LAWRENCE AVE E,3,15,61
